
1.00000000 -0.00013000
0.99780944 0.00001306
0.99559657 0.00016439
0.99336152 0.00032389
0.99110442 0.00049147
0.98882537 0.00066705
0.98652452 0.00085052
0.98420197 0.00104181
0.98185785 0.00124082
0.97949229 0.00144745
0.97710540 0.00166162
0.97469731 0.00188324
0.97226814 0.00211222
0.96981801 0.00234845
0.96734705 0.00259186
0.96485537 0.00284236
0.96234311 0.00309984
0.95981038 0.00336423
0.95725730 0.00363542
0.95468400 0.00391334
0.95209060 0.00419788
0.94947722 0.00448895
0.94684399 0.00478648
0.94419102 0.00509035
0.94151844 0.00540049
0.93882638 0.00571681
0.93611495 0.00603920
0.93338427 0.00636758
0.93063447 0.00670187
0.92786568 0.00704196
0.92507800 0.00738777
0.92227158 0.00773920
0.91944652 0.00809617
0.91660295 0.00845859
0.91374100 0.00882636
0.91086078 0.00919939
0.90796242 0.00957759
0.90504604 0.00996087
0.90211176 0.01034914
0.89915971 0.01074231
0.89619000 0.01114029
0.89320277 0.01154299
0.89019813 0.01195031
0.88717620 0.01236216
0.88413711 0.01277846
0.88108097 0.01319911
0.87800793 0.01362402
0.87491808 0.01405310
0.87181156 0.01448626
0.86868849 0.01492341
0.86554899 0.01536446
0.86239319 0.01580931
0.85922120 0.01625788
0.85603315 0.01671007
0.85282917 0.01716580
0.84960936 0.01762496
0.84637386 0.01808749
0.84312279 0.01855327
0.83985627 0.01902222
0.83657443 0.01949424
0.83327737 0.01996926
0.82996524 0.02044717
0.82663815 0.02092789
0.82329622 0.02141132
0.81993957 0.02189738
0.81656833 0.02238597
0.81318263 0.02287700
0.80978257 0.02337038
0.80636829 0.02386601
0.80293990 0.02436382
0.79949754 0.02486371
0.79604132 0.02536558
0.79257136 0.02586935
0.78908778 0.02637492
0.78559072 0.02688220
0.78208029 0.02739111
0.77855661 0.02790155
0.77501981 0.02841343
0.77147001 0.02892666
0.76790732 0.02944115
0.76433188 0.02995680
0.76074381 0.03047353
0.75714323 0.03099125
0.75353025 0.03150986
0.74990501 0.03202928
0.74626762 0.03254940
0.74261822 0.03307015
0.73895691 0.03359143
0.73528382 0.03411315
0.73159908 0.03463522
0.72790281 0.03515754
0.72419512 0.03568003
0.72047615 0.03620260
0.71674602 0.03672515
0.71300483 0.03724760
0.70925273 0.03776984
0.70548984 0.03829180
0.70171626 0.03881338
0.69793213 0.03933449
0.69413757 0.03985504
0.69033270 0.04037493
0.68651765 0.04089409
0.68269253 0.04141240
0.67885747 0.04192979
0.67501259 0.04244617
0.67115802 0.04296144
0.66729387 0.04347551
0.66342026 0.04398829
0.65953733 0.04449969
0.65564519 0.04500961
0.65174397 0.04551798
0.64783378 0.04602469
0.64391476 0.04652966
0.63998701 0.04703279
0.63605068 0.04753399
0.63210586 0.04803318
0.62815270 0.04853026
0.62419131 0.04902514
0.62022182 0.04951773
0.61624434 0.05000794
0.61225900 0.05049568
0.60826592 0.05098085
0.60426523 0.05146337
0.60025704 0.05194314
0.59624148 0.05242008
0.59221868 0.05289408
0.58818874 0.05336507
0.58415181 0.05383296
0.58010799 0.05429764
0.57605741 0.05475903
0.57200019 0.05521703
0.56793646 0.05567157
0.56386634 0.05612253
0.55978995 0.05656985
0.55570741 0.05701341
0.55161885 0.05745314
0.54752438 0.05788895
0.54342414 0.05832073
0.53931824 0.05874840
0.53520680 0.05917187
0.53108995 0.05959105
0.52696780 0.06000584
0.52284049 0.06041616
0.51870814 0.06082192
0.51457086 0.06122301
